image_name,fracture_fracton,PnS2_sum,PnP3H_sum,PnP3V_sum,PnP4_sum,PnP6V_sum,PnL_sum,FnS2_sum,FnP3H_sum,FnP3V_sum,FnP4_sum,FnP6V_sum,FnL_sum
CS_5057_5_B_37_3_1,0.1005,0.9594,0.1968,0.1869,0.2272,0.1527,0.4872,5.0218,1.5843,1.4562,2.2271,1.5253,4.9775
CS_5057_5_B_37_4_1,0.1051,1.0359,0.2087,0.2075,0.243,0.1636,0.5418,5.1357,1.3149,1.542,2.255,1.5619,4.9579
CS_5057_5_B_38_1_1,0.1397,1.433,0.3016,0.2943,0.3581,0.2274,0.6151,3.8079,1.2138,1.2797,2.5088,1.6171,3.5756
CS_5057_5_B_38_2_1,0.0892,0.8484,0.1684,0.173,0.2075,0.1408,0.4401,5.5524,1.5501,1.5102,2.2932,1.5852,5.2956
CS_5057_5_B_38_3_1,0.1167,1.1792,0.2534,0.2554,0.2916,0.1927,0.5366,4.8317,1.4159,1.6148,2.4791,1.6558,4.6328
CS_5057_5_B_38_4_1,0.1196,1.4176,0.2636,0.2791,0.3144,0.198,0.5986,6.6666,1.5199,1.7981,2.5534,1.6586,6.3216
CS_5057_5_B_39_1_1,0.069,0.6759,0.1378,0.1347,0.1554,0.1035,0.293,6.8136,1.9039,1.7387,2.2553,1.5049,6.4965
CS_5057_5_B_39_2_1,0.0914,0.8631,0.1687,0.1683,0.2132,0.1417,0.4987,5.3709,1.5935,1.4704,2.2685,1.5567,5.3535
CS_5057_5_B_39_3_1,0.0994,0.9559,0.1935,0.1943,0.2307,0.1549,0.4777,5.1655,1.5552,1.4652,2.3178,1.5635,5.0472
CS_5057_5_B_39_4_1,0.0809,0.6856,0.1609,0.1699,0.1949,0.1343,0.3886,4.8157,1.6913,1.9767,2.4126,1.6637,4.7172
CS_5057_5_B_3_1_1,0.0716,0.6302,0.1215,0.1132,0.1455,0.1003,0.3385,5.6257,1.3067,1.4587,2.0348,1.4067,5.3724
CS_5057_5_B_3_2_1,0.0943,0.879,0.1745,0.1801,0.209,0.1405,0.4295,5.0863,1.5537,1.5708,2.2171,1.4953,4.8602
CS_5057_5_B_3_3_1,0.0923,0.8131,0.1667,0.1736,0.2039,0.1375,0.4344,4.6224,1.4054,1.568,2.1709,1.4934,4.5086
CS_5057_5_B_3_4_1,0.0824,0.7152,0.1376,0.1383,0.1683,0.1156,0.3594,4.977,1.3911,1.3191,2.021,1.4065,4.7456
CS_5057_5_B_40_1_1,0.0742,0.632,0.1335,0.1352,0.16,0.1099,0.3155,5.1983,1.2914,1.6213,2.1359,1.4876,5.0367
CS_5057_5_B_40_2_1,0.1289,1.578,0.2839,0.2602,0.3178,0.1957,0.6874,6.6511,0.3418,1.4729,2.1019,1.4709,6.3548
CS_5057_5_B_40_3_1,0.1137,1.3957,0.3014,0.2985,0.3463,0.2111,0.6218,7.4428,1.9686,1.5198,3.0414,1.8628,7.0602
CS_5057_5_B_40_4_1,0.0504,0.3978,0.0919,0.0913,0.1202,0.0838,0.2582,5.6511,1.6976,1.7048,2.3917,1.6677,5.4451
